User_ID,Age,Gender,Location,Income,Interests,Last_Login_Days_Ago,Purchase_Frequency,Average_Order_Value,Total_Spending,Product_Category_Preference,Time_Spent_on_Site_Minutes,Pages_Viewed,Newsletter_Subscription,Age_Group,Income_Tier,Engagement_Score,Revenue_Per_Visit,Recency_Score,CLV_Proxy,Interest_Category_Match,Power_User
#16,20,Male,Urban,85095,Sports,22,9,120,3110,Apparel,276,45,True,18-25,Mid,0.7856,676.09,7,1080,0,1
#17,39,Female,Rural,42656,Food,24,8,11,672,Books,178,26,False,36-45,Low,0.5705,226.52,5,88,0,0
#18,19,Male,Suburban,75147,Technology,4,9,102,1432,Apparel,354,16,False,18-25,Mid,0.6501,242.71,25,918,0,0
#19,41,Male,Rural,111396,Travel,28,3,22,4853,Health & Beauty,154,36,False,36-45,High,0.4245,1890.78,1,66,0,0
#20,61,Male,Suburban,69666,Technology,15,7,13,4102,Books,201,33,False,56+,Mid,0.5889,1224.48,14,91,0,0
#21,47,Female,Suburban,102368,Travel,1,9,179,3234,Home & Kitchen,115,20,True,46-55,High,0.535,1687.3,28,1611,0,0
#22,55,Female,Rural,58787,Sports,23,2,118,4186,Apparel,554,13,True,46-55,Mid,0.4764,453.36,6,236,0,0
#23,19,Female,Rural,133767,Sports,3,2,83,325,Apparel,68,33,False,18-25,High,0.3165,286.76,26,166,0,0
#24,38,Female,Rural,82946,Sports,14,7,198,4300,Health & Beauty,445,5,True,36-45,Mid,0.5569,579.78,15,1386,1,0
#25,50,Female,Urban,41727,Sports,6,4,104,2097,Health & Beauty,445,37,True,46-55,Low,0.6403,282.74,23,416,1,1
#26,29,Male,Suburban,128351,Fashion,18,2,114,871,Electronics,326,14,False,26-35,High,0.349,160.31,11,228,0,0
#27,39,Female,Urban,115081,Fashion,25,9,17,4624,Electronics,359,27,True,36-45,High,0.7218,772.81,4,153,0,1
#28,61,Male,Urban,142721,Food,1,0,76,533,Electronics,145,23,False,56+,High,0.2213,220.55,28,0,0,0
#29,42,Male,Rural,130058,Technology,6,2,119,3199,Health & Beauty,275,14,True,36-45,High,0.3191,697.96,23,238,0,0
#30,44,Female,Urban,88056,Travel,6,8,18,2829,Electronics,509,40,True,36-45,Mid,0.8521,333.48,23,144,0,1
#31,59,Female,Rural,23081,Travel,21,4,126,3507,Electronics,179,4,False,56+,Low,0.2781,1175.53,8,504,0,0
#32,45,Male,Suburban,54196,Fashion,16,9,20,3240,Home & Kitchen,477,39,True,36-45,Low,0.866,407.55,13,180,0,1
#33,33,Male,Rural,56735,Travel,29,1,108,965,Electronics,414,19,True,26-35,Low,0.3929,139.86,0,108,0,0
#34,32,Male,Urban,124749,Fashion,5,6,51,2893,Apparel,153,47,False,26-35,High,0.6094,1134.51,24,306,1,0
#35,64,Female,Urban,100102,Food,17,1,150,3011,Health & Beauty,104,4,True,56+,Mid,0.1174,1737.12,12,150,0,0
#36,61,Female,Rural,99578,Technology,10,3,173,2515,Books,75,30,False,56+,Mid,0.3407,2012.0,19,519,0,0
#37,20,Female,Rural,45498,Food,28,6,129,350,Home & Kitchen,128,19,True,18-25,Low,0.4197,164.06,1,774,1,0
#38,54,Female,Urban,96865,Sports,21,3,150,3857,Health & Beauty,568,31,False,46-55,Mid,0.636,407.43,8,450,1,0
#39,24,Female,Suburban,51656,Sports,18,6,21,4756,Health & Beauty,345,31,False,18-25,Low,0.6219,827.13,11,126,1,0
#40,38,Male,Suburban,87695,Sports,7,6,46,1018,Apparel,531,9,False,36-45,Mid,0.5935,115.03,22,276,0,0
#41,26,Female,Rural,57900,Food,3,0,83,1273,Electronics,159,13,False,26-35,Mid,0.167,480.38,26,0,0,0
#42,56,Male,Suburban,148392,Travel,13,5,82,3303,Apparel,538,14,False,56+,High,0.5899,368.36,16,410,0,0
#43,35,Male,Urban,137235,Technology,15,8,61,532,Electronics,426,46,True,26-35,High,0.8409,74.93,14,488,1,1
#44,21,Male,Rural,104899,Sports,20,1,139,935,Electronics,23,10,True,18-25,High,0.1075,2439.13,9,139,0,0
#45,42,Female,Urban,67701,Sports,19,2,65,2346,Health & Beauty,47,48,False,36-45,Mid,0.3979,2994.89,10,130,1,0
#46,31,Female,Urban,128777,Sports,3,9,69,2362,Electronics,525,31,True,26-35,High,0.8441,269.94,26,621,0,1
#47,26,Female,Suburban,39033,Technology,4,4,32,997,Home & Kitchen,144,37,False,26-35,Low,0.4638,415.42,25,128,0,0
#48,43,Male,Rural,143193,Sports,5,8,112,3732,Home & Kitchen,585,23,True,36-45,High,0.7904,382.77,24,896,0,1
#49,19,Male,Rural,30805,Technology,1,3,49,4667,Home & Kitchen,589,27,True,18-25,Low,0.6233,475.42,28,147,0,1
#50,37,Male,Suburban,55851,Sports,4,0,73,3915,Health & Beauty,419,6,False,36-45,Low,0.2757,560.62,25,0,1,0
#51,45,Male,Urban,46832,Food,12,3,94,346,Apparel,85,26,False,36-45,Low,0.3216,244.24,17,282,0,0
#52,64,Male,Urban,83437,Food,28,5,160,2529,Books,416,2,True,56+,Mid,0.4434,364.76,1,800,0,0
#53,24,Male,Urban,135725,Technology,27,4,166,1090,Electronics,482,45,True,18-25,High,0.712,135.68,2,664,1,1
#54,61,Female,Urban,33944,Food,24,0,188,3410,Books,456,13,False,56+,Low,0.3412,448.68,5,0,0,0
#55,25,Female,Rural,39873,Technology,10,3,98,1026,Apparel,297,19,True,18-25,Low,0.4021,207.27,19,294,0,0
#56,64,Female,Rural,60372,Food,23,5,40,3538,Apparel,112,1,True,56+,Mid,0.2589,1895.36,6,200,0,0
#57,52,Female,Suburban,109464,Food,25,9,187,2707,Health & Beauty,230,40,False,46-55,High,0.7274,706.17,4,1683,0,0
#58,31,Male,Suburban,35379,Technology,21,9,29,1174,Home & Kitchen,96,32,True,26-35,Low,0.5989,733.75,8,261,0,0
#59,34,Male,Rural,137322,Travel,29,3,192,4122,Home & Kitchen,378,22,False,26-35,High,0.4684,654.29,0,576,0,0
#60,53,Female,Rural,56751,Food,26,8,139,3899,Apparel,156,48,False,46-55,Low,0.6951,1499.62,3,1112,0,0
#61,57,Male,Urban,120082,Sports,20,4,162,4884,Health & Beauty,421,29,False,56+,High,0.5762,696.06,9,648,1,0
#62,21,Female,Urban,109822,Travel,24,7,22,3251,Health & Beauty,105,2,True,18-25,High,0.3389,1857.71,5,154,0,0
#63,19,Female,Suburban,25110,Technology,25,8,131,3538,Electronics,330,40,True,18-25,Low,0.7472,643.27,4,1048,1,1
#64,23,Female,Rural,74341,Travel,13,9,112,4673,Home & Kitchen,439,38,False,18-25,Mid,0.8374,638.68,16,1008,0,0
#65,59,Male,Suburban,32087,Fashion,23,4,115,3591,Apparel,132,48,False,56+,Low,0.5255,1632.27,6,460,1,0
#66,21,Female,Rural,43762,Fashion,14,5,128,806,Books,382,11,True,18-25,Low,0.4797,126.6,15,640,0,0
#67,46,Female,Urban,135812,Food,23,0,79,3164,Home & Kitchen,138,17,True,46-55,High,0.1797,1375.65,6,0,1,0
#68,35,Female,Suburban,102617,Food,5,6,195,853,Electronics,270,43,True,26-35,High,0.653,189.56,24,1170,0,1
#69,43,Male,Suburban,120483,Sports,4,3,108,687,Health & Beauty,550,8,False,36-45,High,0.4817,74.95,25,324,1,0
#70,61,Male,Rural,29596,Travel,14,1,91,1434,Apparel,396,22,False,56+,Low,0.4011,217.27,15,91,0,0
#71,51,Female,Urban,123555,Fashion,10,4,84,1947,Home & Kitchen,557,4,True,46-55,High,0.4997,209.73,19,336,0,0
#72,27,Male,Suburban,127539,Food,17,2,127,4034,Books,464,11,True,26-35,High,0.4111,521.64,12,254,0,0
#73,53,Male,Urban,38313,Travel,10,5,93,4026,Electronics,450,8,True,46-55,Low,0.5008,536.8,19,465,0,0
#74,31,Male,Suburban,133175,Food,26,7,78,3417,Electronics,331,9,False,26-35,High,0.5151,619.4,3,546,0,0
#75,48,Male,Urban,86549,Food,7,6,68,4120,Home & Kitchen,253,26,False,46-55,Mid,0.5367,977.08,22,408,1,0
#76,32,Male,Rural,134914,Fashion,16,2,197,3255,Books,285,2,True,26-35,High,0.2499,685.26,13,394,0,0
#77,25,Male,Suburban,43705,Fashion,1,7,135,4402,Electronics,274,16,True,18-25,Low,0.5254,963.94,28,945,0,0
#78,31,Male,Suburban,87364,Food,17,1,120,2298,Apparel,20,31,False,26-35,Mid,0.2369,6894.0,12,120,0,0
#79,40,Male,Urban,93445,Technology,21,9,71,264,Electronics,239,6,False,36-45,Mid,0.5202,66.28,8,639,1,0
#80,57,Male,Urban,123892,Food,29,8,153,2098,Books,270,21,True,56+,High,0.5932,466.22,0,1224,0,0
#81,38,Male,Suburban,98645,Food,9,3,137,3157,Health & Beauty,418,26,True,36-45,Mid,0.5168,453.16,20,411,0,0
#82,33,Female,Rural,22023,Sports,6,0,114,2184,Health & Beauty,310,19,True,26-35,Low,0.2931,422.71,23,0,1,0
#83,62,Female,Urban,139654,Sports,19,7,77,4528,Home & Kitchen,31,28,False,56+,High,0.458,8763.87,10,539,0,0
#84,35,Male,Urban,79796,Sports,13,6,24,502,Books,104,8,True,26-35,Mid,0.3369,289.62,16,144,0,0
#85,64,Female,Urban,100073,Technology,3,4,192,513,Electronics,186,14,False,56+,Mid,0.3447,165.48,26,768,1,0
#86,41,Female,Suburban,112197,Technology,7,9,44,144,Electronics,128,24,False,36-45,High,0.5676,67.5,22,396,1,0
#87,43,Male,Suburban,84429,Food,22,4,192,4257,Health & Beauty,210,48,True,36-45,Mid,0.5712,1216.29,7,768,0,0
#88,42,Male,Suburban,124195,Sports,9,6,23,2567,Health & Beauty,414,44,True,36-45,High,0.7436,372.03,20,138,1,1
#89,62,Male,Suburban,81627,Technology,22,4,186,967,Apparel,281,37,False,56+,Mid,0.5441,206.48,7,744,0,0
#90,58,Female,Rural,53848,Fashion,5,7,111,118,Health & Beauty,253,26,True,56+,Low,0.5756,27.98,24,777,0,0
#91,46,Female,Rural,57804,Food,10,5,109,464,Apparel,19,31,False,46-55,Mid,0.3919,1465.26,19,545,0,0
#92,32,Male,Suburban,35379,Travel,23,4,16,3932,Electronics,136,32,True,26-35,Low,0.4279,1734.71,6,64,0,0
#93,62,Male,Rural,79664,Food,17,8,39,679,Apparel,223,41,True,56+,Mid,0.6907,182.69,12,312,0,1
#94,18,Male,Urban,47766,Travel,12,1,58,645,Apparel,3,2,True,18-25,Low,0.0457,12900.0,17,58,0,0
#95,42,Female,Urban,129126,Sports,23,0,153,4250,Home & Kitchen,236,25,True,36-45,High,0.2872,1080.51,6,0,0,0
#96,24,Female,Urban,88099,Travel,16,7,120,4973,Health & Beauty,465,44,False,18-25,Mid,0.8124,641.68,13,840,0,0
#97,26,Female,Suburban,56060,Sports,3,2,188,3139,Apparel,228,2,False,26-35,Low,0.2165,826.05,26,376,0,0
#98,41,Female,Urban,114733,Fashion,25,6,81,4237,Electronics,499,42,False,36-45,High,0.781,509.46,4,486,0,0
#99,18,Male,Rural,89122,Travel,22,9,89,4144,Books,521,1,True,18-25,Mid,0.6543,477.24,7,801,1,1
#100,61,Male,Suburban,36087,Food,9,7,92,4426,Apparel,139,36,False,56+,Low,0.5713,1910.5,20,644,0,0
#101,25,Male,Rural,68868,Sports,29,5,51,552,Health & Beauty,276,12,False,18-25,Mid,0.4238,120.0,0,255,1,0
#102,41,Male,Urban,139119,Food,15,9,26,4061,Home & Kitchen,291,9,False,36-45,High,0.5694,837.32,14,234,1,0
#103,28,Female,Urban,43225,Technology,5,8,182,1481,Electronics,53,36,True,26-35,Low,0.5598,1676.6,24,1456,1,0
#104,34,Female,Urban,115286,Sports,23,6,16,1567,Home & Kitchen,110,41,False,26-35,High,0.5466,854.73,6,96,0,0
#105,25,Male,Suburban,26643,Travel,13,9,164,2838,Books,4,28,True,18-25,Low,0.5199,42570.0,16,1476,1,0
#106,52,Male,Rural,113059,Sports,14,4,19,1316,Apparel,47,38,True,46-55,High,0.4132,1680.0,15,76,0,0
#107,52,Female,Suburban,56727,Food,20,7,43,980,Apparel,94,33,False,46-55,Low,0.5262,625.53,9,301,0,0
#108,50,Male,Suburban,31005,Fashion,15,1,45,3914,Health & Beauty,560,42,True,46-55,Low,0.6223,419.36,14,45,0,1
#109,22,Female,Urban,129079,Sports,16,6,162,3249,Apparel,213,46,False,18-25,High,0.6383,915.21,13,972,0,0
#110,59,Male,Suburban,85697,Travel,23,3,15,184,Electronics,436,22,False,56+,Mid,0.5024,25.32,6,45,0,0
#111,56,Male,Suburban,36029,Technology,13,8,161,4244,Books,508,25,False,56+,Low,0.7578,501.26,16,1288,0,0
#112,58,Male,Urban,135281,Fashion,17,0,155,1268,Home & Kitchen,205,18,False,56+,High,0.2253,371.12,12,0,0,0
#113,45,Male,Suburban,34226,Technology,23,6,143,4264,Books,381,6,False,36-45,Low,0.4868,671.5,6,858,0,0
#114,24,Male,Urban,83646,Sports,8,5,38,3229,Apparel,73,18,True,18-25,Mid,0.3423,2653.97,21,190,0,0
#115,26,Male,Urban,80603,Food,21,7,135,3745,Home & Kitchen,516,16,False,26-35,Mid,0.6673,435.47,8,945,1,0
#116,25,Male,Urban,48731,Food,2,4,162,2626,Health & Beauty,76,15,True,18-25,Low,0.2864,2073.16,27,648,0,0
#117,29,Female,Urban,129458,Travel,5,0,192,2967,Books,77,48,False,26-35,High,0.3377,2311.95,24,0,1,0
#118,51,Female,Suburban,130384,Food,6,0,90,3616,Home & Kitchen,410,8,False,46-55,High,0.2829,529.17,23,0,1,0
#119,50,Female,Urban,88926,Fashion,12,8,183,3467,Home & Kitchen,106,13,False,46-55,Mid,0.4471,1962.45,17,1464,0,0
#120,40,Female,Urban,25997,Food,18,9,161,2294,Home & Kitchen,551,43,True,36-45,Low,0.9344,249.8,11,1449,1,1
#121,41,Female,Suburban,75506,Travel,22,5,84,3655,Electronics,476,7,True,36-45,Mid,0.5098,460.71,7,420,0,0
#122,54,Male,Suburban,98229,Sports,22,9,35,545,Books,275,17,True,46-55,Mid,0.6101,118.91,7,315,0,0
#123,52,Male,Rural,69815,Sports,1,4,136,3726,Home & Kitchen,88,32,True,46-55,Mid,0.3997,2540.45,28,544,0,0
#124,61,Female,Suburban,62092,Food,17,0,124,4116,Books,77,22,False,56+,Mid,0.1752,3207.27,12,0,0,0
#125,57,Male,Suburban,82539,Technology,11,5,135,3975,Home & Kitchen,77,13,False,56+,Mid,0.3134,3097.4,18,675,0,0
#126,39,Female,Rural,86077,Sports,10,5,37,3437,Health & Beauty,442,47,True,36-45,Mid,0.7399,466.56,19,185,1,1
#127,44,Female,Suburban,41817,Food,19,2,140,361,Health & Beauty,540,23,True,36-45,Low,0.5307,40.11,10,280,0,0
#128,52,Male,Suburban,57861,Travel,14,7,84,1948,Health & Beauty,245,29,True,46-55,Mid,0.5897,477.06,15,588,0,0
#129,18,Male,Suburban,33428,Food,26,0,175,4125,Apparel,578,22,False,18-25,Low,0.4689,428.2,3,0,0,0
#130,52,Male,Suburban,63934,Sports,10,0,198,2366,Home & Kitchen,382,1,True,46-55,Mid,0.2228,371.62,19,0,0,0
#131,54,Female,Rural,135555,Travel,15,5,87,191,Apparel,570,29,True,46-55,High,0.7024,20.11,14,435,0,1
#132,64,Male,Suburban,134367,Food,28,9,188,4322,Books,142,48,False,56+,High,0.7258,1826.2,1,1692,0,0
#133,31,Female,Suburban,30258,Fashion,19,0,99,4275,Apparel,368,5,True,26-35,Low,0.2396,697.01,10,0,1,0
#134,20,Female,Rural,77775,Travel,4,5,185,3409,Books,84,35,False,18-25,Mid,0.455,2435.0,25,925,1,0
#135,18,Female,Urban,101580,Fashion,2,0,30,1082,Books,143,10,False,18-25,High,0.1389,453.99,27,0,0,0
#136,22,Male,Rural,114947,Technology,9,5,63,3543,Books,352,19,False,18-25,High,0.5121,603.92,20,315,0,0
#137,43,Male,Urban,25469,Travel,10,2,193,2633,Apparel,545,37,False,36-45,Low,0.6211,289.87,19,386,0,0
#138,31,Female,Rural,48854,Fashion,28,7,112,793,Home & Kitchen,152,7,False,26-35,Low,0.3977,313.03,1,784,0,0
#139,56,Male,Rural,26256,Sports,11,5,68,4220,Apparel,158,46,True,56+,Low,0.5672,1602.53,18,340,0,0
#140,44,Male,Suburban,144086,Sports,14,0,81,255,Home & Kitchen,446,35,True,36-45,High,0.4728,34.3,15,0,0,0
#141,26,Male,Urban,96256,Technology,7,4,188,3688,Home & Kitchen,303,45,False,26-35,Mid,0.607,730.3,22,752,0,0
#142,32,Female,Suburban,53937,Travel,23,7,29,1912,Books,450,13,False,26-35,Low,0.6099,254.93,6,203,1,0
#143,32,Female,Urban,119134,Travel,15,2,121,4214,Apparel,224,10,True,26-35,High,0.2642,1128.75,14,242,0,0
#144,43,Male,Rural,21651,Travel,22,5,68,1507,Home & Kitchen,43,2,True,36-45,Low,0.2247,2102.79,7,340,0,0
#145,59,Female,Rural,70288,Technology,19,4,80,1316,Health & Beauty,264,6,False,56+,Mid,0.3404,299.09,10,320,0,0
#146,30,Male,Urban,104730,Travel,22,5,146,1510,Home & Kitchen,3,8,True,26-35,High,0.2388,30200.0,7,730,0,0
#147,49,Male,Suburban,45051,Sports,15,9,118,3597,Health & Beauty,268,36,True,46-55,Low,0.7247,805.3,14,1062,1,1
#148,56,Male,Suburban,47386,Fashion,28,0,138,4472,Apparel,596,25,False,56+,Low,0.4982,450.2,1,0,1,0
#149,49,Male,Suburban,95054,Sports,24,6,166,4940,Apparel,16,44,True,46-55,Mid,0.5103,18525.0,5,996,0,0
#150,21,Female,Suburban,131562,Sports,8,8,65,651,Apparel,334,47,True,18-25,High,0.7933,116.95,21,520,0,1
#151,47,Female,Rural,36184,Fashion,11,1,44,3494,Home & Kitchen,464,40,True,46-55,Low,0.5535,451.81,18,44,0,0
#152,54,Female,Rural,53787,Sports,29,9,132,1276,Electronics,59,7,True,46-55,Low,0.4209,1297.63,0,1188,0,0
#153,40,Male,Rural,41621,Technology,9,4,140,4834,Home & Kitchen,177,46,False,36-45,Low,0.5394,1638.64,20,560,0,0
#154,56,Male,Rural,95564,Fashion,15,9,113,4432,Home & Kitchen,63,23,True,56+,Mid,0.5233,4220.95,14,1017,0,0
#155,62,Male,Rural,97984,Sports,1,3,16,1097,Books,561,19,False,56+,Mid,0.5569,117.33,28,48,0,0
#156,32,Female,Suburban,79792,Food,1,5,36,4176,Books,307,46,True,26-35,Mid,0.6545,816.16,28,180,0,1
#157,60,Male,Suburban,65253,Sports,19,5,10,2831,Home & Kitchen,246,22,False,56+,Mid,0.4687,690.49,10,50,0,0
#158,46,Female,Suburban,54051,Technology,3,1,181,4037,Health & Beauty,289,13,False,46-55,Low,0.2821,838.13,26,181,0,0
#159,53,Female,Suburban,69811,Travel,10,1,96,4152,Books,332,21,True,46-55,Mid,0.3574,750.36,19,96,1,0
#160,30,Female,Rural,50447,Sports,8,3,50,472,Home & Kitchen,527,1,False,26-35,Low,0.4245,53.74,21,150,0,0
#161,49,Female,Rural,148046,Travel,15,0,132,2348,Electronics,255,19,False,46-55,High,0.2608,552.47,14,0,0,0
#162,24,Female,Rural,103930,Food,10,8,84,948,Health & Beauty,510,33,False,18-25,High,0.8089,111.53,19,672,0,0
#163,39,Female,Urban,143278,Sports,1,6,51,2656,Apparel,463,4,False,36-45,High,0.5224,344.19,28,306,0,0
#164,45,Male,Suburban,120037,Fashion,29,6,126,2422,Home & Kitchen,199,42,False,36-45,High,0.6051,730.25,0,756,0,0
#165,19,Male,Suburban,50254,Travel,18,2,170,603,Home & Kitchen,271,3,True,18-25,Low,0.248,133.51,11,340,0,0
#166,59,Female,Rural,104045,Food,2,2,187,3289,Health & Beauty,558,27,False,56+,High,0.5662,353.66,27,374,0,0
#167,62,Female,Suburban,136859,Fashion,19,0,72,802,Books,64,41,False,56+,High,0.2863,751.87,10,0,0,0
#168,23,Male,Suburban,77418,Fashion,13,2,174,3725,Books,230,35,True,18-25,Mid,0.4239,971.74,16,348,0,0
#169,45,Female,Rural,134534,Fashion,22,2,196,414,Books,249,28,True,36-45,High,0.3913,99.76,7,392,0,0
#170,45,Female,Urban,34472,Fashion,1,3,136,2476,Apparel,246,6,False,36-45,Low,0.291,603.9,28,408,1,0
#171,61,Male,Urban,131193,Sports,2,3,185,1140,Health & Beauty,587,6,True,56+,High,0.4909,116.52,27,555,1,0
#172,61,Female,Urban,23471,Sports,29,2,142,4478,Health & Beauty,157,44,True,56+,Low,0.4374,1711.34,0,284,1,0
#173,37,Female,Rural,127332,Sports,16,9,57,3090,Books,564,23,True,36-45,High,0.817,328.72,13,513,0,1
#174,47,Female,Suburban,140312,Food,15,7,12,357,Books,88,33,True,46-55,High,0.5226,243.41,14,84,0,0
#175,28,Male,Rural,143379,Food,13,7,125,674,Electronics,313,16,True,26-35,High,0.5483,129.2,16,875,0,0
#176,45,Male,Rural,115804,Food,16,0,184,4769,Electronics,66,24,True,36-45,High,0.1813,4335.45,13,0,0,0
#177,42,Male,Suburban,28329,Technology,17,6,199,1652,Home & Kitchen,20,5,False,36-45,Low,0.2689,4956.0,12,1194,0,0
#178,56,Female,Urban,54865,Food,21,1,108,4618,Home & Kitchen,33,41,False,56+,Low,0.3071,8396.36,8,108,1,0
#179,50,Female,Urban,66850,Sports,29,0,125,857,Health & Beauty,558,42,True,46-55,Mid,0.5822,92.15,0,0,1,0
#180,18,Male,Rural,74220,Sports,29,2,23,2910,Health & Beauty,73,13,True,18-25,Mid,0.1944,2391.78,0,46,1,0
#181,44,Female,Urban,132234,Technology,7,3,121,1204,Apparel,343,47,False,36-45,High,0.6041,210.61,22,363,0,0
#182,30,Female,Rural,113808,Technology,24,5,70,4624,Apparel,133,12,True,26-35,High,0.34,2086.02,5,350,0,0
#183,58,Female,Rural,128381,Food,26,9,168,3559,Electronics,55,5,False,56+,High,0.4061,3882.55,3,1512,0,0
#184,20,Female,Suburban,26397,Travel,17,4,104,4092,Home & Kitchen,61,37,True,18-25,Low,0.4151,4024.92,12,416,0,0
#185,56,Female,Suburban,117909,Technology,7,3,26,303,Electronics,520,31,False,56+,High,0.6079,34.96,22,78,1,0
#186,23,Male,Suburban,149004,Fashion,13,7,133,2875,Electronics,272,28,False,18-25,High,0.5993,634.19,16,931,0,0
#187,25,Female,Rural,55525,Sports,5,3,33,2432,Home & Kitchen,246,28,True,18-25,Low,0.4285,593.17,24,99,0,0
#188,44,Male,Suburban,73072,Fashion,26,9,125,2092,Apparel,176,30,True,36-45,Mid,0.6333,713.18,3,1125,1,1
#189,26,Female,Urban,110106,Sports,17,1,160,2343,Home & Kitchen,317,18,True,26-35,High,0.3298,443.47,12,160,0,0
#190,54,Male,Urban,103820,Sports,3,2,91,406,Books,131,44,True,46-55,High,0.4222,185.95,26,182,0,0
#191,50,Female,Rural,104530,Technology,7,5,59,1787,Books,102,27,False,46-55,High,0.4156,1051.18,22,295,0,0
#192,59,Male,Rural,43284,Technology,26,7,88,4209,Books,310,35,True,56+,Low,0.6653,814.65,3,616,0,1
#193,61,Female,Suburban,81330,Fashion,17,7,88,1960,Health & Beauty,292,26,False,56+,Mid,0.5985,402.74,12,616,0,0
#194,41,Male,Rural,103369,Sports,7,8,79,2061,Apparel,495,39,True,36-45,High,0.8376,249.82,22,632,0,1
#195,32,Female,Rural,45122,Fashion,21,6,36,822,Apparel,361,49,False,26-35,Low,0.7438,136.62,8,216,1,0
#196,49,Male,Urban,90553,Travel,1,1,24,879,Health & Beauty,338,18,True,46-55,Mid,0.3421,156.04,28,24,0,0
#197,49,Female,Urban,101906,Fashion,17,7,59,628,Electronics,579,33,True,46-55,High,0.8105,65.08,12,413,0,1
#198,41,Male,Suburban,114788,Food,17,6,45,4993,Books,10,25,False,36-45,High,0.388,29958.0,12,270,0,0
#199,58,Male,Rural,82812,Fashion,11,7,17,443,Books,49,31,True,56+,Mid,0.4873,542.45,18,119,0,0
#200,29,Female,Rural,27999,Food,25,2,88,3886,Electronics,487,37,True,26-35,Low,0.5871,478.77,4,176,0,0
#201,56,Female,Urban,42436,Food,27,6,140,3782,Home & Kitchen,321,2,True,56+,Low,0.4266,706.92,2,840,1,0
#202,19,Male,Rural,62963,Food,29,9,199,308,Home & Kitchen,569,33,True,18-25,Mid,0.8824,32.48,0,1791,1,1
#203,20,Female,Urban,22096,Travel,3,8,56,4836,Apparel,133,39,True,18-25,Low,0.6254,2181.65,26,448,0,1
#204,54,Male,Suburban,149940,Fashion,15,2,114,3506,Health & Beauty,583,43,False,46-55,High,0.6809,360.82,14,228,0,0
#205,34,Male,Urban,133737,Fashion,29,9,107,1411,Apparel,83,43,True,26-35,High,0.66,1020.0,0,963,1,1
#206,19,Male,Rural,45279,Travel,21,5,105,2399,Home & Kitchen,57,32,False,18-25,Low,0.4204,2525.26,8,525,0,0
#207,19,Female,Suburban,141092,Sports,11,1,198,3436,Electronics,376,18,True,18-25,High,0.3644,548.3,18,198,0,0
#208,45,Male,Urban,128899,Technology,26,1,169,2047,Apparel,349,17,True,36-45,High,0.3423,351.92,3,169,0,0
#209,40,Male,Urban,134245,Fashion,28,4,125,1019,Books,271,34,False,36-45,High,0.5195,225.61,1,500,0,0
#210,54,Female,Suburban,46201,Technology,16,4,22,2144,Books,483,39,False,46-55,Low,0.675,266.34,13,88,0,0
#211,49,Female,Suburban,39715,Travel,25,6,10,518,Electronics,111,7,False,46-55,Low,0.3347,280.0,4,60,0,0
#212,50,Female,Urban,49309,Sports,22,1,43,1849,Home & Kitchen,76,42,False,46-55,Low,0.3385,1459.74,7,43,0,0
#213,18,Female,Rural,35078,Sports,28,6,199,2942,Books,158,35,False,18-25,Low,0.5373,1117.22,1,1194,0,0
